mp_id,formula,band_gap_mp,formation_energy_per_atom_mp,energy_above_hull_mp,is_stable_mp,cbm_mp,vbm_mp,efermi_mp,has_band_edges_mp
mp-5229,SrTiO3,1.7658999999999998,-3.5511922376666667,0.00047005399999910935,False,4.9974,3.2315,3.35954893,True
mp-541404,VO2,0.7584,-2.5224681766666683,0.0,True,2.8468,2.0884,2.19478178,True
mp-545665,WO3,1.1499,-2.179940107916668,0.01092049864583089,False,0.8097,-0.3402,-0.16464803,True
mp-547074,VO2,0.0,-2.4786257683333353,0.043842408333317096,False,,,4.08319598,False
mp-550172,SnO2,0.8169999999999993,-2.1052311483333326,0.0022508566666674668,False,6.2654,5.4484,5.63347522,True
mp-550893,HfO2,3.8020000000000005,-3.936231537499997,0.08357950333333442,False,8.0606,4.2586,4.64144373,True
mp-551830,SrTiO3,1.7869999999999995,-3.5515775436666663,8.474800000080052e-05,False,5.0028,3.2158,3.38667929,True
mp-553432,TiO2,3.4210000000000003,-3.358393413055555,0.14966203888888785,False,1.5777,-1.8433,-1.70763078,True
mp-553964,WO3,1.2556,-2.1833747868750004,0.007485819687499173,False,1.4069,0.1513,0.31738979,True
mp-554278,TiO2,2.6843000000000004,-3.501638054444445,0.006417397499999922,False,4.0438,1.3595,1.40675121,True
mp-555487,SnO2,0.8470999999999993,-2.096102013611111,0.011379991388888122,False,6.2749,5.4278,5.54129769,True
mp-559122,WO3,1.2555,-2.1842338831250006,0.006626723437499038,False,1.6328,0.3773,0.47981205,True
mp-559445,VO2,1.2561,-1.9837880500000011,0.5386801266666517,False,-0.7124,-1.9685,-1.89800452,True
mp-560417,SnO2,0.5726000000000004,-1.9733808037499994,0.1341012012500009,False,7.2556,6.683,6.7988511,True
mp-562610,SnO2,0.4380999999999995,-1.821063945,0.2864180599999999,False,7.3039,6.8658,6.98201399,True
mp-566278,WO3,1.3108,-2.1846297275,0.006230879062499639,False,1.66,0.3492,0.43859198,True
mp-566801,VO2,0.3535999999999999,-1.9763196616666672,0.5461485149999863,False,-1.2172,-1.5708,-1.4083656,True
mp-572822,TiO2,1.6966999999999999,-2.9756232152777784,0.5324322366666667,False,-0.8262,-2.5229,-2.40651869,True
